localidad;provincia;cp
CAPITAL FEDERAL;CAPITAL FEDERAL;1001
CAPITAL FEDERAL;CAPITAL FEDERAL;1002
CAPITAL FEDERAL;CAPITAL FEDERAL;1003
CAPITAL FEDERAL;CAPITAL FEDERAL;1004
CAPITAL FEDERAL;CAPITAL FEDERAL;1005
CAPITAL FEDERAL;CAPITAL FEDERAL;1006
CAPITAL FEDERAL;CAPITAL FEDERAL;1007
CAPITAL FEDERAL;CAPITAL FEDERAL;1008
CAPITAL FEDERAL;CAPITAL FEDERAL;1009
CAPITAL FEDERAL;CAPITAL FEDERAL;1010
CAPITAL FEDERAL;CAPITAL FEDERAL;1011
CAPITAL FEDERAL;CAPITAL FEDERAL;1012
CAPITAL FEDERAL;CAPITAL FEDERAL;1013
CAPITAL FEDERAL;CAPITAL FEDERAL;1014
CAPITAL FEDERAL;CAPITAL FEDERAL;1015
CAPITAL FEDERAL;CAPITAL FEDERAL;1016
CAPITAL FEDERAL;CAPITAL FEDERAL;1017
CAPITAL FEDERAL;CAPITAL FEDERAL;1018
CAPITAL FEDERAL;CAPITAL FEDERAL;1019
CAPITAL FEDERAL;CAPITAL FEDERAL;1020
CAPITAL FEDERAL;CAPITAL FEDERAL;1021
CAPITAL FEDERAL;CAPITAL FEDERAL;1022
CAPITAL FEDERAL;CAPITAL FEDERAL;1023
CAPITAL FEDERAL;CAPITAL FEDERAL;1024
CAPITAL FEDERAL;CAPITAL FEDERAL;1025
CAPITAL FEDERAL;CAPITAL FEDERAL;1026
CAPITAL FEDERAL;CAPITAL FEDERAL;1027
CAPITAL FEDERAL;CAPITAL FEDERAL;1028
CAPITAL FEDERAL;CAPITAL FEDERAL;1029
CAPITAL FEDERAL;CAPITAL FEDERAL;1030
CAPITAL FEDERAL;CAPITAL FEDERAL;1031
CAPITAL FEDERAL;CAPITAL FEDERAL;1032
CAPITAL FEDERAL;CAPITAL FEDERAL;1033
CAPITAL FEDERAL;CAPITAL FEDERAL;1034
CAPITAL FEDERAL;CAPITAL FEDERAL;1035
CAPITAL FEDERAL;CAPITAL FEDERAL;1036
CAPITAL FEDERAL;CAPITAL FEDERAL;1037
CAPITAL FEDERAL;CAPITAL FEDERAL;1038
CAPITAL FEDERAL;CAPITAL FEDERAL;1039
CAPITAL FEDERAL;CAPITAL FEDERAL;1040
CAPITAL FEDERAL;CAPITAL FEDERAL;1041
CAPITAL FEDERAL;CAPITAL FEDERAL;1042
CAPITAL FEDERAL;CAPITAL FEDERAL;1043
CAPITAL FEDERAL;CAPITAL FEDERAL;1044
CAPITAL FEDERAL;CAPITAL FEDERAL;1045
CAPITAL FEDERAL;CAPITAL FEDERAL;1046
CAPITAL FEDERAL;CAPITAL FEDERAL;1047
CAPITAL FEDERAL;CAPITAL FEDERAL;1048
CAPITAL FEDERAL;CAPITAL FEDERAL;1049
CAPITAL FEDERAL;CAPITAL FEDERAL;1050
CAPITAL FEDERAL;CAPITAL FEDERAL;1051
CAPITAL FEDERAL;CAPITAL FEDERAL;1052
CAPITAL FEDERAL;CAPITAL FEDERAL;1053
CAPITAL FEDERAL;CAPITAL FEDERAL;1054
CAPITAL FEDERAL;CAPITAL FEDERAL;1055
CAPITAL FEDERAL;CAPITAL FEDERAL;1056
CAPITAL FEDERAL;CAPITAL FEDERAL;1057
CAPITAL FEDERAL;CAPITAL FEDERAL;1058
CAPITAL FEDERAL;CAPITAL FEDERAL;1059
CAPITAL FEDERAL;CAPITAL FEDERAL;1060
CAPITAL FEDERAL;CAPITAL FEDERAL;1061
CAPITAL FEDERAL;CAPITAL FEDERAL;1062
CAPITAL FEDERAL;CAPITAL FEDERAL;1063
CAPITAL FEDERAL;CAPITAL FEDERAL;1064
CAPITAL FEDERAL;CAPITAL FEDERAL;1065
CAPITAL FEDERAL;CAPITAL FEDERAL;1066
CAPITAL FEDERAL;CAPITAL FEDERAL;1067
CAPITAL FEDERAL;CAPITAL FEDERAL;1068
CAPITAL FEDERAL;CAPITAL FEDERAL;1069
CAPITAL FEDERAL;CAPITAL FEDERAL;1070
CAPITAL FEDERAL;CAPITAL FEDERAL;1071
CAPITAL FEDERAL;CAPITAL FEDERAL;1072
CAPITAL FEDERAL;CAPITAL FEDERAL;1073
CAPITAL FEDERAL;CAPITAL FEDERAL;1074
CAPITAL FEDERAL;CAPITAL FEDERAL;1075
CAPITAL FEDERAL;CAPITAL FEDERAL;1076
CAPITAL FEDERAL;CAPITAL FEDERAL;1077
CAPITAL FEDERAL;CAPITAL FEDERAL;1078
CAPITAL FEDERAL;CAPITAL FEDERAL;1079
CAPITAL FEDERAL;CAPITAL FEDERAL;1080
CAPITAL FEDERAL;CAPITAL FEDERAL;1081
CAPITAL FEDERAL;CAPITAL FEDERAL;1082
CAPITAL FEDERAL;CAPITAL FEDERAL;1083
CAPITAL FEDERAL;CAPITAL FEDERAL;1084
CAPITAL FEDERAL;CAPITAL FEDERAL;1085
CAPITAL FEDERAL;CAPITAL FEDERAL;1086
CAPITAL FEDERAL;CAPITAL FEDERAL;1087
CAPITAL FEDERAL;CAPITAL FEDERAL;1088
CAPITAL FEDERAL;CAPITAL FEDERAL;1089
